Model,Class,Precision,Recall,F1,Support
VGG16,glioma,0.97,0.81,0.88,400
VGG16,meningioma,0.9,0.94,0.92,400
VGG16,notumor,0.92,1.0,0.96,400
VGG16,pituitary,0.97,0.99,0.98,400
DenseNet121,glioma,0.97,0.76,0.85,400
DenseNet121,meningioma,0.85,0.95,0.9,400
DenseNet121,notumor,0.92,1.0,0.96,400
DenseNet121,pituitary,0.97,0.98,0.98,400
EfficientNet,glioma,0.98,0.74,0.84,400
EfficientNet,meningioma,0.85,0.95,0.9,400
EfficientNet,notumor,0.92,1.0,0.96,400
EfficientNet,pituitary,0.96,0.99,0.98,400
ResNet50,glioma,0.96,0.76,0.85,400
ResNet50,meningioma,0.86,0.93,0.89,400
ResNet50,notumor,0.92,1.0,0.96,400
ResNet50,pituitary,0.97,0.99,0.98,400
MobileNetV3Large,glioma,0.97,0.78,0.86,400
MobileNetV3Large,meningioma,0.88,0.93,0.9,400
MobileNetV3Large,notumor,0.91,1.0,0.95,400
MobileNetV3Large,pituitary,0.96,0.99,0.98,400
