Epoch,Model,Phase,Training Accuracy,Training Loss,Learning Rate,Epoch Time Seconds,Phase Configured Maximum
1,VGG16,Frozen Feature Extraction,0.7011,0.8251,,1927.0,5
2,VGG16,Frozen Feature Extraction,0.8538,0.3792,,1941.0,5
3,VGG16,Frozen Feature Extraction,0.8866,0.3057,,1701.0,5
4,VGG16,Frozen Feature Extraction,0.9082,0.2364,,1510.0,5
5,VGG16,Frozen Feature Extraction,0.9172,0.2263,,1037.0,5
6,VGG16,Fine-Tuning,0.9323,0.1776,1e-05,25732.0,10
7,VGG16,Fine-Tuning,0.963,0.1091,1e-05,2867.0,10
8,VGG16,Fine-Tuning,0.9778,0.0687,1e-05,1458.0,10
9,VGG16,Fine-Tuning,0.9845,0.0544,1e-05,1659.0,10
10,VGG16,Fine-Tuning,0.9901,0.0371,1e-05,2373.0,10
11,VGG16,Fine-Tuning,0.9935,0.0298,1e-05,1666.0,10
12,VGG16,Fine-Tuning,0.9953,0.0253,1e-05,1559.0,10
13,VGG16,Fine-Tuning,0.9936,0.021,1e-05,1201.0,10
14,VGG16,Fine-Tuning,0.9969,0.0162,1e-05,1296.0,10
15,VGG16,Fine-Tuning,0.9977,0.0134,1e-05,1344.0,10
1,DenseNet121,Frozen Feature Extraction,0.7673,0.6225,,715.0,5
2,DenseNet121,Frozen Feature Extraction,0.901,0.2617,,603.0,5
3,DenseNet121,Frozen Feature Extraction,0.9267,0.1916,,582.0,5
4,DenseNet121,Frozen Feature Extraction,0.9357,0.1776,,591.0,5
5,DenseNet121,Frozen Feature Extraction,0.9475,0.1398,,560.0,5
6,DenseNet121,Fine-Tuning,0.9494,0.13,1e-05,537.0,10
7,DenseNet121,Fine-Tuning,0.9645,0.1009,1e-05,508.0,10
8,DenseNet121,Fine-Tuning,0.9632,0.1026,1e-05,529.0,10
9,DenseNet121,Fine-Tuning,0.9628,0.0921,1e-05,639.0,10
10,DenseNet121,Fine-Tuning,0.9704,0.0845,1e-05,560.0,10
11,DenseNet121,Fine-Tuning,0.9749,0.0791,1e-05,504.0,10
12,DenseNet121,Fine-Tuning,0.9741,0.0762,1e-05,420.0,10
